iter	Passed	Remaining
622	1441	872
623	1443	869
624	1444	866
625	1446	864
626	1448	861
627	1450	858
628	1452	856
629	1455	854
630	1457	852
631	1460	850
632	1462	848
633	1466	846
634	1468	844
635	1470	841
636	1473	839
637	1475	837
638	1477	834
639	1480	832
640	1482	830
641	1484	827
642	1486	825
643	1488	822
644	1490	820
645	1492	817
646	1494	815
647	1495	812
648	1497	809
649	1499	807
650	1501	804
651	1502	802
652	1504	799
653	1506	797
654	1508	794
655	1510	791
656	1512	789
657	1515	787
658	1517	785
659	1520	783
660	1523	781
661	1526	779
662	1528	776
663	1530	774
664	1533	772
665	1535	770
666	1537	767
667	1539	765
668	1542	763
669	1545	761
670	1547	758
671	1550	756
672	1553	754
673	1556	752
674	1558	750
675	1561	748
676	1564	746
677	1565	743
678	1567	741
679	1570	739
680	1573	736
681	1575	734
682	1578	732
683	1580	730
684	1583	728
685	1585	725
686	1588	723
687	1590	721
688	1592	718
689	1595	716
690	1597	714
691	1599	711
692	1602	709
693	1605	707
694	1607	705
695	1610	703
696	1612	701
697	1614	698
698	1617	696
699	1619	694
700	1621	691
701	1624	689
702	1626	687
703	1628	684
704	1630	682
705	1632	679
706	1634	677
707	1636	674
708	1637	672
709	1639	669
710	1640	666
711	1642	664
712	1643	661
713	1644	658
714	1646	656
715	1647	653
716	1648	650
717	1649	647
718	1651	645
719	1652	642
720	1653	639
721	1654	637
722	1655	634
723	1657	631
724	1658	629
725	1660	626
726	1661	624
727	1663	621
728	1664	618
729	1665	616
730	1666	613
731	1668	610
732	1669	608
733	1670	605
734	1671	602
735	1672	600
736	1674	597
737	1675	594
738	1676	592
739	1678	589
740	1679	587
741	1681	584
742	1682	582
743	1683	579
744	1685	576
745	1687	574
746	1688	571
747	1690	569
748	1691	566
749	1692	564
750	1694	561
751	1695	559
752	1696	556
753	1698	554
754	1699	551
755	1700	548
756	1702	546
757	1703	543
758	1704	541
759	1705	538
760	1707	536
761	1708	533
762	1709	530
763	1710	528
764	1712	525
765	1713	523
766	1715	521
767	1716	518
768	1717	515
769	1718	513
770	1719	510
771	1720	508
772	1721	505
773	1722	502
774	1723	500
775	1724	497
776	1724	495
777	1725	492
778	1726	489
779	1727	487
780	1728	484
781	1729	482
782	1730	479
783	1730	476
784	1731	474
785	1732	471
786	1733	469
787	1734	466
788	1735	463
789	1735	461
790	1737	458
791	1738	456
792	1739	454
793	1740	451
794	1741	449
795	1742	446
796	1744	444
797	1745	441
798	1746	439
799	1747	436
800	1748	434
801	1749	431
802	1750	429
803	1752	427
804	1753	424
805	1754	422
806	1755	419
807	1756	417
808	1757	414
809	1758	412
810	1759	410
811	1761	407
812	1761	405
813	1762	402
814	1763	400
815	1764	397
816	1765	395
817	1766	393
818	1767	390
819	1768	388
820	1769	385
821	1770	383
822	1771	380
823	1771	378
824	1772	376
825	1773	373
826	1774	371
827	1775	368
828	1776	366
829	1777	364
830	1778	361
831	1779	359
832	1780	356
833	1780	354
834	1781	352
835	1782	349
836	1783	347
837	1784	344
838	1785	342
839	1786	340
840	1787	337
841	1788	335
842	1788	333
843	1789	330
844	1790	328
845	1791	326
846	1792	323
847	1794	321
848	1795	319
849	1796	316
850	1797	314
851	1798	312
852	1799	310
853	1800	307
854	1801	305
855	1802	303
856	1803	301
857	1805	298
858	1806	296
859	1807	294
860	1808	292
861	1809	289
862	1811	287
863	1812	285
864	1813	283
865	1814	280
866	1815	278
867	1816	276
868	1817	273
869	1818	271
870	1819	269
871	1819	267
872	1820	264
873	1822	262
874	1823	260
875	1823	258
876	1824	255
877	1825	253
878	1826	251
879	1827	249
880	1828	247
881	1829	244
882	1830	242
883	1832	240
884	1833	238
885	1834	236
886	1835	233
887	1836	231
888	1838	229
889	1839	227
890	1840	225
891	1841	222
892	1842	220
893	1843	218
894	1844	216
895	1845	214
896	1846	211
897	1847	209
898	1847	207
899	1848	205
900	1849	203
901	1850	201
902	1851	198
903	1852	196
904	1853	194
905	1854	192
906	1855	190
907	1856	188
908	1857	185
909	1858	183
910	1858	181
911	1859	179
912	1860	177
913	1861	175
914	1862	173
915	1863	170
916	1864	168
917	1865	166
918	1866	164
919	1867	162
920	1868	160
921	1869	158
922	1870	156
923	1871	153
924	1872	151
925	1873	149
926	1873	147
927	1874	145
928	1875	143
929	1876	141
930	1877	139
931	1878	137
932	1879	134
933	1880	132
934	1881	130
935	1881	128
936	1882	126
937	1883	124
938	1884	122
939	1885	120
940	1886	118
941	1887	116
942	1887	114
943	1888	112
944	1889	109
945	1890	107
946	1891	105
947	1892	103
948	1893	101
949	1894	99
950	1895	97
951	1896	95
952	1897	93
953	1898	91
954	1899	89
955	1900	87
956	1900	85
957	1901	83
958	1902	81
959	1903	79
960	1904	77
961	1905	75
962	1906	73
963	1907	71
964	1908	69
965	1909	67
966	1910	65
967	1911	63
968	1912	61
969	1912	59
970	1913	57
971	1914	55
972	1915	53
973	1916	51
974	1917	49
975	1918	47
976	1919	45
977	1920	43
978	1921	41
979	1922	39
980	1923	37
981	1924	35
982	1925	33
983	1926	31
984	1927	29
985	1928	27
986	1929	25
987	1931	23
988	1932	21
989	1933	19
990	1934	17
991	1935	15
992	1936	13
993	1937	11
994	1938	9
995	1940	7
996	1941	5
997	1942	3
998	1943	1
999	1944	0
